No.,Title,Air date,Timeslot (ET),Rating/share(18–49),Viewers(millions)
1,"""Episode 101""","June 1, 2005",Wednesday 9:00 p.m.,4.3/12,13.48
2,"""Episode 102""","June 8, 2005",4.8/14,15.09,
3,"""Episode 103""","June 15, 2005",4.8/14,15.67,
4,"""Episode 104""","June 22, 2005",4.4/13,15.52,
5,"""Episode 105""","June 29, 2005",5.6/17,18.59,
6,"""Episode 106""","July 6, 2005",6.7/19,22.36,
Special,"""Dance-Off""","September 20, 2005",Tuesday 8:30 p.m.,2.8/7,10.91
Special,"""Dance-Off Results Show""","September 22, 2005",Thursday 9:00 p.m.,2.6/6,10.48
