No.,Title,Air date,Timeslot (ET),Rating/share(18–49),Viewers(millions)
1,"""Episode 601""","March 17, 2008",Monday 8:00 p.m.,5.6/15,21.15
2,"""Episode 601A""","March 18, 2008",Tuesday 9:00 p.m.,4.1/10,17.02
3,"""Episode 602""","March 24, 2008",Monday 8:00 p.m.,5.1/13,20.51
4,"""Episode 602A""","March 25, 2008",Tuesday 9:00 p.m.,3.9/9,17.49
5,"""Episode 603""","March 31, 2008",Monday 8:00 p.m.,5.1/13,20.56
6,"""Episode 603A""","April 1, 2008",Tuesday 9:00 p.m.,4.0/10,17.28
7,"""Episode 604""","April 7, 2008",Monday 8:00 p.m.,4.9/13,19.68
8,"""Episode 604A""","April 8, 2008",Tuesday 9:00 p.m.,3.6/9,17.02
9,"""Episode 605""","April 14, 2008",Monday 8:00 p.m.,4.1/11,17.20
10,"""Episode 605A""","April 15, 2008",Tuesday 9:00 p.m.,3.6/9,15.42
11,"""Episode 606""","April 21, 2008",Monday 8:00 p.m.,4.3/11,18.04
12,"""Episode 606A""","April 22, 2008",Tuesday 9:00 p.m.,4.2/10,17.97
13,"""Episode 607""","April 28, 2008",Monday 8:00 p.m.,4.5/11,18.22
14,"""Episode 607A""","April 29, 2008",Tuesday 9:00 p.m.,4.1/10,17.06
15,"""Episode 608""","May 5, 2008",Monday 8:00 p.m.,4.3/12,18.10
16,"""Episode 608A""","May 6, 2008",Tuesday 9:00 p.m.,4.4/11,18.38
17,"""Episode 609""","May 12, 2008",Monday 8:00 p.m.,4.2/11,18.47
18,"""Episode 609A""","May 13, 2008",Tuesday 9:00 p.m.,4.1/10,16.99
19,"""Episode 610""","May 19, 2008",Monday 8:00 p.m.,4.4/13,19.22
20,"""Episode 610A""","May 20, 2008",Tuesday 9:00 p.m.,5.4/14,20.12
