No.,Title,Air date,Rating/share(18–49),Viewers(millions)
1,"""Week 1: Premiere""","September 18, 2017",1.6/6,10.71
2,"""Week 2: Ballroom Night (Night 1)""","September 25, 2017",1.4/5,8.67
3,"""Week 2: Latin Night (Night 2)""","September 26, 2017",1.2/4,7.22
4,"""Week 3: Guilty Pleasures Night""","October 2, 2017",1.4/5,9.06
5,"""Week 4: Most Memorable Year Night""","October 9, 2017",1.3/5,9.25
6,"""Week 5: Disney Night""","October 16, 2017",1.4/5,9.76
7,"""Week 6: A Night at the Movies""","October 23, 2017",1.3/5,9.15
8,"""Week 7: Halloween Night""","October 30, 2017",1.4/5,9.93
9,"""Week 8: Quarterfinals""","November 6, 2017",1.2/5,9.30
10,"""Week 9: Semifinals""","November 13, 2017",1.4/5,9.88
11,"""Week 10: Finals (Night 1)""","November 20, 2017",1.4/5,10.08
12,"""Week 10: Finals (Night 2)""","November 21, 2017",1.3/5,9.20
