No.,Title,Air date,Rating/share(18–49),Viewers(millions)
1,"""Week 1: Premiere""","April 30, 2018",1.1/5,8.48
2,"""Week 2""","May 7, 2018",1.0/4,7.73
3,"""Week 3: MVP Night (Semifinals)""","May 14, 2018",1.0/4,7.68
4,"""Week 4: The Finals""","May 21, 2018",1.1/5,8.77
