No.,Title,Air date,Rating/share(18–49),Viewers(millions)
1,"""2019 Season Premiere""","September 16, 2019",1.0/5,8.07
2,"""First Elimination""","September 23, 2019",0.8/4,6.40
3,"""Movie Night""","September 30, 2019",0.8/4,6.58
4,"""Top 10""","October 7, 2019",0.8/3,6.40
5,"""Disney Night""","October 14, 2019",0.9/4,6.61
6,"""Week 6""","October 21, 2019",0.7/3,6.28
7,"""Halloween Night""","October 28, 2019",0.9/4,6.40
8,"""Dance-Off Week""","November 4, 2019",0.8/3,6.20
9,"""Boy Band & Girl Group Night""","November 11, 2019",0.9/4,6.75
10,"""Semi-Finals""","November 18, 2019",0.8/4,6.63
11,"""Finale""","November 25, 2019",1.1/5,7.79
