Episode,Air date,Rating/Share(18–49),Viewers(millions),18–49 rank(Weekly),Viewership rank(Weekly),Ref(s)
1,"""Week 1: Premiere""","September 14, 2015",2.1,7,13.13,8
2,"""First Dances"" (Clip Show)","September 15, 2015",1.1,4,5.70,21
3,"""Week 2: Hometown Glory, Part 1""","September 21, 2015",1.8,6,11.46,—[a]
4,"""Week 2: Hometown Glory, Part 2""","September 22, 2015",1.5,5,9.58,20
5,"""Week 3: TV Night""","September 28, 2015",1.6,6,11.04,14
6,"""Week 4: Most Memorable Year""","October 5, 2015",1.7,5,11.82,24
7,"""Week 5: Switch-Up Night""","October 12, 2015",1.7,5,11.64,21
8,"""Week 6: Famous Dances Night""","October 19, 2015",1.9,6,12.50,22
9,"""Week 7: Halloween Night""","October 26, 2015",1.8,5,11.86,24
10,"""Week 8: Icons Night""","November 2, 2015",1.9,6,12.09,18
11,"""Week 9: Showstoppers Night""","November 9, 2015",2.0,6,12.63,17
12,"""Week 10: Semi-Finals""","November 16, 2015",1.8,6,12.35,22
13,"""Week 11: The Finals, Part 1""","November 23, 2015",2.1,7,13.29,12
14,"""Week 11: The Finals, Part 2""","November 24, 2015",2.4,8,13.49,9
