No.,Title,Air date,Rating/share(18–49),Viewers(millions),Ref.
1,"""Premiere (Night 1)""","September 24, 2018",1.0,7.68,
2,"""Premiere (Night 2)""","September 25, 2018",0.9,6.55,
3,"""New York City Night""","October 1, 2018",0.8,7.06,
4,"""Las Vegas Night""","October 2, 2018",0.8,6.10,
5,"""Most Memorable Year Night""","October 8, 2018",1.0,7.22,
6,"""Trio Night""","October 15, 2018",0.9,6.89,
7,"""Disney Night""","October 22, 2018",1.0,7.27,
8,"""Halloween Night""","October 29, 2018",0.9,7.25,
9,"""Country Night""","November 5, 2018",0.9,7.10,
10,"""Semi-Finals""","November 12, 2018",0.9,7.29,
11,"""Finale""","November 19, 2018",1.1,7.90,
