No.,Title,Air date,Rating/share(18–49),Viewers(millions),Ref.
1,"""Premiere Night""","September 26, 2023",0.6,4.78,
2,"""Latin Night""","October 3, 2023",0.6,4.53,
3,"""Motown Night""","October 10, 2023",0.6,5.13,
4,"""Disney100 Night""","October 17, 2023",0.6,4.76,
5,"""Most Memorable Year""","October 24, 2023",0.5,4.73,
6,"""Monster Night""","October 31, 2023",0.5,4.75,
7,"""Music Video Night""","November 7, 2023",0.5,4.87,
8,"""Whitney Houston Night""","November 14, 2023",0.6,5.12,
9,"""A Celebration of Taylor Swift""","November 21, 2023",0.9,5.70,
10,"""Semi-Finals""","November 28, 2023",0.6,5.10,
11,"""Finale""","December 5, 2023",0.7,5.50,
