Show,Episode,Air date,Viewers(millions),Rating/share(adults 18–49),Rating/share(household),Note
1,"""Performance Show: Week 1""","September 24, 2012",14.11,2.5/7,9.3/14,
2,"""Results Show: Week 1""","September 25, 2012",11.79,2.1/6,7.7/12,
3,"""Performance Show: Week 2""","October 1, 2012",12.38,2.1/5,9.3/12,
4,"""Results Show: Week 2""","October 2, 2012",12.03,2.1/5,7.9/12,
5,"""Performance Show: Week 3""","October 8, 2012",13.55,2.2/6,8.9/13,
6,"""Results Show: Week 3""","October 9, 2012",13.33,2.2/6,9.0/13,
7,"""Performance Show: Week 4""","October 15, 2012",13.64,2.1/5,9.1/13,
8,"""Results Show: Week 4""","October 16, 2012",12.92,2.0/6,8.6/13,
9,"""Performance Show 1: Week 5""","October 22, 2012",13.27,2.4/6,8.7/13,
10,"""Performance Show 2: Week 5""","October 23, 2012",12.90,2.3/7,8.3/13,
11,"""Performance Show: Week 6""","October 29, 2012",13.90,2.3/5,9.5/14,
12,"""Results Show: Week 6""","October 30, 2012",11.49,1.8/5,7.9/12,
13,"""Performance Show: Week 7""","November 5, 2012",13.48,2.1/5,9.0/13,
14,"""Performance Show: Week 8""","November 12, 2012",13.79,2.1/5,9.2/14,
15,"""Results Show: Week 8""","November 13, 2012",12.11,1.9/5,7.9/12,
16,"""Performance Show: Week 9""","November 19, 2012",14.28,2.4/6,9.2/14,
17,"""Results Show: Week 9""","November 20, 2012",13.01,2.0/6,8.5/13,
18,"""Performance Show: Week 10""","November 26, 2012",16.30,2.7/7,10.4/15,
19,"""Season Finale""","November 27, 2012",16.73,3.0/8,10.7/12,
