celebrity_name,wikidata_qid,wikidata_label,wikidata_social_media_followers,wikidata_social_media_followers_point_in_time,error
Chuck Liddell,,,,,wikidata_error:SSLError
Natalie Coughlin,,,,,wikidata_error:SSLError
Louie Vito,,,,,wikidata_error:SSLError
Michael Irvin,,,,,wikidata_error:SSLError
Joanna Krupa,,,,,wikidata_error:SSLError
Kathy Ireland,,,,,wikidata_error:SSLError
Tom DeLay,,,,,wikidata_error:SSLError
Macy Gray,Q232456,Macy Gray,215000,2025-03-01T00:00:00Z,
Aaron Carter,Q301818,Aaron Carter,195000,2025-02-22T00:00:00Z,
Mya,,,,,wikidata_error:ReadTimeout
Donny Osmond,Q386053,Donny Osmond,210377,2023-02-06T00:00:00Z,
Kelly Osbourne,,,,,wikidata_error:SSLError
Aiden Turner,,,,,wikidata_error:SSLError
Shannen Doherty,,,,,wikidata_error:SSLError
Niecy Nash,Q4328437,Niecy Nash,452178,2023-02-05T00:00:00Z,
Buzz Aldrin,,,,,wikidata_error:SSLError
Chad Ochocinco,,,,,wikidata_error:SSLError
Evan Lysacek,,,,,wikidata_error:SSLError
Pamela Anderson,,,,,wikidata_error:SSLError
Nicole Scherzinger,,,,,wikidata_error:SSLError
Erin Andrews,,,,,wikidata_error:SSLError
Kate Gosselin,,,,,wikidata_error:SSLError
Jake Pavelka,,,,,wikidata_error:SSLError
David Hasselhoff,,,,,wikidata_error:SSLError
Florence Henderson,Q452749,Florence Henderson,,,no_followers
Kyle Massey,,,,,wikidata_error:SSLError
Jennifer Grey,Q232927,Jennifer Grey,105907,2023-02-07T00:00:00Z,
Rick Fox,,,,,wikidata_error:SSLError
Kurt Warner,,,,,wikidata_error:SSLError
Margaret Cho,,,,,wikidata_error:SSLError
Michael Bolton,,,,,wikidata_error:SSLError
Brandy,,,,,wikidata_error:SSLError
The Situation,,,,,no_wikidata_match
Audrina Patridge,,,,,wikidata_error:SSLError
Bristol Palin,,,,,wikidata_error:SSLError
Ralph Macchio,Q73346,Ralph Macchio,358610,2023-02-05T00:00:00Z,
Chelsea Kane,,,,,wikidata_error:SSLError
Kirstie Alley,Q151935,Kirstie Alley,1577810,2023-02-09T00:00:00Z,
Hines Ward,Q482838,Hines Ward,491220,2023-02-05T00:00:00Z,
Sugar Ray Leonard,Q335798,Sugar Ray Leonard,270712,2023-02-12T00:00:00Z,
Chris Jericho,Q44144,Chris Jericho,232000,2025-04-27T00:00:00Z,
Petra Nemcova,,,,,no_wikidata_match
Mike Catherwood,,,,,no_wikidata_match
Romeo,Q7363066,Romeo,105217,2023-02-03T00:00:00Z,
Wendy Williams,Q618233,Wendy Williams,1490474,2022-02-27T00:00:00Z,
Kendra Wilkinson,Q231744,Kendra Wilkinson,2211440,2023-02-02T00:00:00Z,
Elisabetta Canalis,Q287122,Elisabetta Canalis,1463328,2023-02-08T00:00:00Z,
David Arquette,Q294185,David Arquette,80515,2023-02-07T00:00:00Z,
Ricki Lake,Q40128,Ricki Lake,236899,2023-02-12T00:00:00Z,
J.R. Martinez,,,,,no_wikidata_match
Metta World Peace (Ron),,,,,no_wikidata_match
Hope Solo,Q229619,Hope Solo,1069360,2023-02-10T00:00:00Z,
Chynna Phillips,Q3676126,Chynna Phillips,,,no_followers
Kristin Cavallari,Q242802,Kristin Cavallari,1014942,2023-02-08T00:00:00Z,
Carson Kressley,Q2470009,Carson Kressley,,,no_followers
Chaz Bono,Q979387,Chaz Bono,150383,2023-02-05T00:00:00Z,
Nancy Grace,Q451839,Nancy Grace,,,no_followers
Rob Kardashian,Q26318,Rob Kardashian,7177195,2023-02-03T00:00:00Z,
William Levy,Q559403,William Levy,2962166,2023-02-12T00:00:00Z,
Jack Wagner,Q1293637,Jack Wagner,,,no_followers
Sherri Sheperd,,,,,no_wikidata_match
Jaleel White,Q358306,Jaleel White,116699,2023-02-09T00:00:00Z,
Roshon Fegan,Q507999,Roshon Fegan,337741,2023-02-04T00:00:00Z,
Melissa Gilbert,Q230929,Melissa Gilbert,168539,2023-02-05T00:00:00Z,
Martina Navratilova,Q54545,Martina Navratilova,447000,2023-02-10T00:00:00Z,
Donald Driver,Q1093571,Donald Driver,,,no_followers
Gavin DeGraw,Q337722,Gavin DeGraw,352000,2025-05-18T00:00:00Z,
Gladys Knight,Q235952,Gladys Knight,434074,2023-02-10T00:00:00Z,
Katherine Jenkins,Q272581,Katherine Jenkins,91700,2025-05-18T00:00:00Z,
Maria Menounos,Q233618,Maria Menounos,617139,2023-02-04T00:00:00Z,
Ingo Rademacher,Q6032887,Ingo Rademacher,,,no_followers
Zendaya,Q189489,Zendaya,4110000,2025-05-11T00:00:00Z,
Dorothy Hamill,Q262573,Dorothy Hamill,,,no_followers
Victor Ortiz,Q423205,Victor Ortiz,112716,2023-02-12T00:00:00Z,
Alexandra Raisman,,,,,no_wikidata_match
Jacoby Jones,Q3805829,Jacoby Jones,,,no_followers
D. L. Hughley,Q536308,D. L. Hughley,761394,2023-02-10T00:00:00Z,
Andy Dick,Q367094,Andy Dick,131313,2023-02-04T00:00:00Z,
Wynonna Judd,Q465130,Wynonna Judd,128062,2023-02-05T00:00:00Z,
Kellie Pickler,Q234445,Kellie Pickler,187000,2025-05-18T00:00:00Z,
Lisa Vanderpump,Q15040601,Lisa Vanderpump,3100000,2023-10-21T00:00:00Z,
Sean Lowe,Q7441167,Sean Lowe,878358,2023-02-08T00:00:00Z,
Valerie Harper,Q239293,Valerie Harper,,,no_followers
Brant Daugherty,Q1992569,Brant Daugherty,337046,2023-02-06T00:00:00Z,
Elizabeth Berkley Lauren,,,,,no_wikidata_match
Leah Remini,Q242580,Leah Remini,828481,2023-02-10T00:00:00Z,
Corbin Bleu,Q4617,Corbin Bleu,36100,2025-05-18T00:00:00Z,
Amber Riley,Q230420,Amber Riley,,,no_followers
Keyshawn Johnson,Q2081596,Keyshawn Johnson,,,no_followers
Bill Engvall,Q4908906,Bill Engvall,,,no_followers
Christina Milian,Q230501,Christina Milian,219000,2025-05-25T00:00:00Z,
"Nicole ""Snooki"" Polizzi",,,,,no_wikidata_match
Jack Osbourne,Q724791,Jack Osbourne,473888,2023-02-05T00:00:00Z,
Bill Nye,,,,,no_wikidata_match
Billy Dee Williams,Q358345,Billy Dee Williams,231942,2023-02-08T00:00:00Z,
Danica McKellar,Q242949,Danica McKellar,153759,2023-02-05T00:00:00Z,
James Maslow,Q26058,James Maslow,540000,2025-05-11T00:00:00Z,
Candace Cameron Bure,Q235694,Candace Cameron Bure,621422,2023-02-04T00:00:00Z,
Sean Avery,Q725726,Sean Avery,,,no_followers
Diana Nyad,Q5271254,Diana Nyad,38416,2023-02-08T00:00:00Z,
Charlie White,Q512025,Charlie White,92078,2023-02-07T00:00:00Z,
Amy Purdy,Q4749355,Amy Purdy,61953,2023-02-04T00:00:00Z,
Meryl Davis,Q242921,Meryl Davis,141507,2023-02-11T00:00:00Z,
Drew Carey,Q357402,Drew Carey,563264,2023-02-10T00:00:00Z,
Cody Simpson,Q314319,Cody Simpson,1090000,2025-04-24T00:00:00Z,
NeNe Leakes,Q6983877,NeNe Leakes,272000,2025-07-14T00:00:00Z,
Antonio Sabato Jr.,,,,,no_wikidata_match
Jonathan Bennett,Q471163,Jonathan Bennett,114897,2022-02-27T00:00:00Z,
Lea Thompson,Q230605,Lea Thompson,219108,2023-02-09T00:00:00Z,
Janel Parrish,Q242418,Janel Parrish,,,no_followers
Alfonso Ribeiro,Q447691,Alfonso Ribeiro,155603,2023-02-07T00:00:00Z,
Lolo Jones,Q466911,Lolo Jones,568833,2023-06-26T00:00:00Z,
Randy Couture,Q352733,Randy Couture,629656,2023-02-06T00:00:00Z,
Tommy Chong,Q369174,Tommy Chong,545918,2023-02-05T00:00:00Z,
Betsey Johnson,Q467665,Betsey Johnson,405507,2023-02-02T00:00:00Z,
Michael Waltrip,Q946057,Michael Waltrip,,,no_followers
Tavis Smiley,Q164382,Tavis Smiley,307387,2023-02-07T00:00:00Z,
Bethany Mota,Q16769657,Bethany Mota,9370000,2025-05-18T00:00:00Z,
Sadie Robertson,Q16226085,Sadie Robertson,1703122,2023-02-04T00:00:00Z,
Suzanne Somers,Q242939,Suzanne Somers,57295,2023-02-05T00:00:00Z,
Willow Shields,,,,,wikidata_error:SSLError
Riker Lynch,Q3935797,Riker Lynch,,,no_followers
Rumer Willis,Q234566,Rumer Willis,256253,2023-02-11T00:00:00Z,
Nastia Liukin,Q230164,Nastia Liukin,360789,2023-02-06T00:00:00Z,
Michael Sam,Q15725594,Michael Sam,,,no_followers
Robert Herjavec,Q324370,Robert Herjavec,311000,2025-11-22T00:00:00Z,
Charlotte McKinney,Q19571502,Charlotte McKinney,141018,2023-02-02T00:00:00Z,
Noah Galloway,Q19666198,Noah Galloway,,,no_followers
Redfoo,Q2938630,Redfoo,2880000,2025-03-23T00:00:00Z,
Patti LaBelle,Q31013,Patti LaBelle,371000,2025-02-01T00:00:00Z,
Chris Soules,Q19867926,Chris Soules,,,no_followers
Gary Busey,Q312081,Gary Busey,,,no_followers
Alexa PenaVega,Q152555,Alexa PenaVega,404047,2023-02-03T00:00:00Z,
Carlos PenaVega,Q26053,Carlos PenaVega,2541094,2023-02-11T00:00:00Z,
Victor Espinoza,Q7925891,Victor Espinoza,27054,2018-05-10T00:00:00Z,
Alek Skarlatos,Q21055237,Alek Skarlatos,35391,2023-02-05T00:00:00Z,
Chaka Khan,Q229498,Chaka Khan,502000,2025-04-14T00:00:00Z,
Andy Grammer,Q4299814,Andy Grammer,145751,2023-02-08T00:00:00Z,
Tamar Braxton,Q437375,Tamar Braxton,832000,2025-05-11T00:00:00Z,
Nick Carter,Q214466,Nick Carter,165000,2025-03-23T00:00:00Z,
Hayes Grier,Q17411181,Hayes Grier,834000,2025-04-27T00:00:00Z,
Bindi Irwin,Q2423081,Bindi Irwin,775779,2023-02-09T00:00:00Z,
Kim Zolciak-Biermann,Q4193709,Kim Zolciak-Biermann,1008788,2023-02-09T00:00:00Z,
Paula Deen,Q3071037,Paula Deen,1185880,2023-02-05T00:00:00Z,
Mischa Barton,Q207458,Mischa Barton,92074,2023-02-12T00:00:00Z,
Kim Fields,Q772031,Kim Fields,140834,2023-02-08T00:00:00Z,
Jodie Sweetin,Q236861,Jodie Sweetin,351624,2022-01-27T00:00:00Z,
Doug Flutie,Q1251736,Doug Flutie,53930,2023-02-04T00:00:00Z,
Von Miller,Q1823140,Von Miller,546696,2023-02-07T00:00:00Z,
Antonio Brown,Q4776474,Antonio Brown,430000,2025-01-25T00:00:00Z,
Paige VanZant,Q10343583,Paige VanZant,703000,2025-04-25T00:00:00Z,
Geraldo Rivera,Q1368995,Geraldo Rivera,16200,2025-11-08T00:00:00Z,
Nyle DiMarco,Q21005632,Nyle DiMarco,366931,2023-02-07T00:00:00Z,
Ginger Zee,Q5563073,Ginger Zee,2276325,2023-02-04T00:00:00Z,
Wanya Morris,Q2548555,Wanya Morris,,,no_followers
Marla Maples,Q2597050,Marla Maples,27907,2023-02-04T00:00:00Z,
Jake T. Austin,Q312521,Jake T. Austin,2803618,2023-02-02T00:00:00Z,
Maureen McCormick,Q454374,Maureen McCormick,,,no_followers
Marilu Henner,Q270747,Marilu Henner,,,no_followers
Ryan Lochte,Q201517,Ryan Lochte,914967,2023-02-09T00:00:00Z,
Calvin Johnson Jr.,,,,,no_wikidata_match
Laurie Hernandez,Q15710550,Laurie Hernandez,598540,2023-02-12T00:00:00Z,
Amber Rose,Q290856,Amber Rose,3728074,2023-02-05T00:00:00Z,
Rick Perry,Q215057,Rick Perry,,,no_followers
James Hinchcliffe,Q1360560,James Hinchcliffe,158285,2023-02-05T00:00:00Z,
Babyface,Q344983,Babyface,136483,2023-02-11T00:00:00Z,
Vanilla Ice,Q313578,Vanilla Ice,1120000,2025-11-08T00:00:00Z,
Jana Kramer,,,,,no_wikidata_match
Terra Jole,,,,,no_wikidata_match
Charo,Q453949,Charo,15071,2023-02-06T00:00:00Z,
Mr. T,Q295107,Mr. T,360563,2023-02-11T00:00:00Z,
Heather Morris,Q229349,Heather Morris,,,no_followers
Nancy Kerrigan,Q239988,Nancy Kerrigan,,,no_followers
Bonner Bolton,Q28976368,Bonner Bolton,14694,2023-02-07T00:00:00Z,
Simone Biles,Q7520267,Simone Biles,1704285,2023-02-05T00:00:00Z,
David Ross,Q3018729,David Ross,322711,2023-02-06T00:00:00Z,
Rashad Jennings,Q3930379,Rashad Jennings,,,no_followers
Chris Kattan,Q741909,Chris Kattan,66522,2023-02-09T00:00:00Z,
Erika Jayne,Q867257,Erika Jayne,507693,2023-02-11T00:00:00Z,
