celebrity_name,wikidata_qid,wikidata_label,wikidata_social_media_followers,wikidata_social_media_followers_point_in_time,error
Dwight Howard,Q25278,Dwight Howard,6346506,2023-02-10T00:00:00Z,
Danny Amendola,Q3702263,Danny Amendola,404538,2023-02-07T00:00:00Z,
Stephen Nedoroscik,Q107328953,Stephen Nedoroscik,,,no_followers
Ilona Maher,Q106086464,Ilona Maher,,,no_followers
Anna Delvey,,,,,no_wikidata_match
Brooks Nader,Q118558462,Brooks Nader,,,no_followers
Phaedra Parks,Q23417034,Phaedra Parks,,,no_followers
Jenn Tran,Q125150795,Jenn Tran,,,no_followers
Joey Graziadei,Q123469653,Joey Graziadei,,,no_followers
Corey Feldman,Q375419,Corey Feldman,165459,2023-02-03T00:00:00Z,
Danielle Fishel,Q129208,Danielle Fishel,327068,2023-02-06T00:00:00Z,
Elaine Hendrix,Q271620,Elaine Hendrix,,,no_followers
Baron Davis,Q313486,Baron Davis,1040511,2023-02-06T00:00:00Z,
Jordan Chiles,Q17486476,Jordan Chiles,46414,2023-02-05T00:00:00Z,
Andy Richter,Q497851,Andy Richter,1068357,2023-02-10T00:00:00Z,
Robert Irwin,Q534258,Robert Irwin,,,no_followers
Hilaria Baldwin,Q24702913,Hilaria Baldwin,,,no_followers
Lauren Jauregui,Q18921974,Lauren Jauregui,4296896,2023-02-06T00:00:00Z,
Scott Hoying,Q23009146,Scott Hoying,368000,2025-05-18T00:00:00Z,
Alix Earle,Q121422393,Alix Earle,265000,2025-11-08T00:00:00Z,
Jen Affleck,Q130278045,Jen Affleck,,,no_followers
Whitney Leavitt,Q130278036,Whitney Leavitt,,,no_followers
Dylan Efron,Q104902550,Dylan Efron,,,no_followers
