celebrity_name,season,normalized_average,variants_searched
Wynonna Judd,16,0.176617,4
Victor Ortiz,16,0.149021,4
Ingo Rademacher,16,0.131054,4
Alexandra Raisman,16,0.059397,4
D. L. Hughley,16,0.0,4
Bill Nye,17,1.0,4
Christina Milian,17,0.569715,4
Leah Remini,17,0.537093,4
Corbin Bleu,17,0.431412,4
Valerie Harper,17,0.429427,4
Brant Daugherty,17,0.33622,4
Amber Riley,17,0.293132,4
Bill Engvall,17,0.228429,4
Jack Osbourne,17,0.211876,4
Keyshawn Johnson,17,0.109591,4
Elizabeth Berkley Lauren,17,0.015018,4
"Nicole ""Snooki"" Polizzi",17,0.0,4
NeNe Leakes,18,1.0,5
Cody Simpson,18,0.759194,4
Danica McKellar,18,0.71524,5
Amy Purdy,18,0.65421,4
James Maslow,18,0.648553,4
Meryl Davis,18,0.640192,4
Drew Carey,18,0.378508,4
Charlie White,18,0.204477,4
Billy Dee Williams,18,0.175484,4
Candace Cameron Bure,18,0.086736,4
Sean Avery,18,0.045202,4
Diana Nyad,18,0.0,4
Sadie Robertson,19,1.0,4
Bethany Mota,19,0.958227,4
Tommy Chong,19,0.551926,4
Alfonso Ribeiro,19,0.519163,4
Betsey Johnson,19,0.514237,4
Lea Thompson,19,0.469776,4
Janel Parrish,19,0.43501,4
Lolo Jones,19,0.289246,4
Jonathan Bennett,19,0.252942,4
Michael Waltrip,19,0.202854,4
Tavis Smiley,19,0.113452,4
Randy Couture,19,0.113234,4
Antonio Sabato Jr.,19,0.0,4
Charlotte McKinney,20,1.0,5
Rumer Willis,20,0.836254,4
Patti LaBelle,20,0.548457,5
Chris Soules,20,0.526406,4
Robert Herjavec,20,0.487577,4
Riker Lynch,20,0.38398,4
Suzanne Somers,20,0.353053,4
Willow Shields,20,0.258219,4
Noah Galloway,20,0.246332,4
Nastia Liukin,20,0.12229,4
Michael Sam,20,0.094176,4
Redfoo,20,0.0,3
Paula Deen,21,1.0,4
Tamar Braxton,21,0.438426,4
Andy Grammer,21,0.398233,4
Hayes Grier,21,0.377687,4
Chaka Khan,21,0.16061,4
Gary Busey,21,0.15857,4
Nick Carter,21,0.1304,4
Victor Espinoza,21,0.069066,4
Bindi Irwin,21,0.057934,4
Alexa PenaVega,21,0.016826,5
Carlos PenaVega,21,0.001275,5
Kim Zolciak-Biermann,21,0.000255,4
Alek Skarlatos,21,0.0,4
Paige VanZant,22,1.0,5
Jodie Sweetin,22,0.848847,4
Mischa Barton,22,0.396778,4
Antonio Brown,22,0.38821,4
Geraldo Rivera,22,0.378916,4
Ginger Zee,22,0.295268,4
Von Miller,22,0.05362,4
Kim Fields,22,0.05219,4
Doug Flutie,22,0.021448,4
Marla Maples,22,0.002145,4
Nyle DiMarco,22,0.0,5
Wanya Morris,22,0.0,4
Amber Rose,23,1.0,4
Vanilla Ice,23,0.260396,4
Jana Kramer,23,0.113779,4
Rick Perry,23,0.047664,4
Babyface,23,0.044677,3
Terra Jole,23,0.037165,4
Maureen McCormick,23,0.021987,5
Ryan Lochte,23,0.016913,4
Marilu Henner,23,0.010367,4
James Hinchcliffe,23,0.007205,4
Jake T. Austin,23,0.00022,4
Calvin Johnson Jr.,23,6.6e-05,4
Laurie Hernandez,23,0.0,4
Heather Morris,24,1.0,4
Charo,24,0.77312,3
Nick Viall,24,0.562209,4
Mr. T,24,0.463074,4
Nancy Kerrigan,24,0.449767,4
Normani,24,0.327345,3
Simone Biles,24,0.099135,4
Erika Jayne,24,0.013972,4
Bonner Bolton,24,0.0,4
Frankie Muniz,25,1.0,4
Lindsey Stirling,25,0.829279,4
Jordan Fisher,25,0.738155,4
Nikki Bella,25,0.586791,4
Debbie Gibson,25,0.286238,4
Victoria Arlen,25,0.242686,4
Nick Lachey,25,0.229453,4
Sasha Pieterse,25,0.220575,4
Vanessa Lachey,25,0.216935,4
Terrell Owens,25,0.149968,4
Drew Scott,25,0.133128,4
Barbara Corcoran,25,0.072711,4
Derek Fisher,25,0.0,4
Tonya Harding,26,1.0,4
Josh Norman,26,0.151433,4
Adam Rippon,26,0.150973,4
Johnny Damon,26,0.084304,4
Mirai Nagasu,26,0.063059,4
Chris Mazdzer,26,0.049711,4
Kareem Abdul-Jabbar,26,0.024855,4
Jamie Anderson,26,0.023014,4
Arike Ogunbowale,26,0.014729,4
Jennie Finch Daigle,26,0.0,4
Bobby Bones,27,1.0,4
Alexis Ren,27,0.929961,4
Mary Lou Retton,27,0.627514,4
John Schneider,27,0.533719,4
Nikki Glaser,27,0.474648,4
