week,rating_share,viewers
1,1.3/8,8.12
2,1.1/7,6.09
3,1.1/7,6.87
4,0.9/5,5.84
5,0.9/5,6.26
6,0.8/5,5.75
7,0.8/5,5.48
8,0.8/5,5.55
9,0.9/5,5.97
10,0.8/5,5.75
11,1.0/6,6.41
