week,rating_share,viewers
1,"1.0, 0.9","7.68, 6.55"
2,"0.8, 0.8","7.06, 6.1"
3,1.0,7.22
4,0.9,6.89
5,1.0,7.27
6,0.9,7.25
7,0.9,7.1
8,0.9,7.29
9,1.1,7.9
