week,rating_share,viewers
1,2.1,7.0
2,1.7,6.0
3,1.5,5.0
4,1.6,6.0
5,1.8,6.0
6,1.6,6.0
7,1.6,6.0
8,1.5,6.0
9,1.5,5.0
10,"1.8, 1.4","7, 5"
