week,rating_share,viewers
1,"5.6/15, 4.1/10","21.15, 17.02"
2,"5.1/13, 3.9/9","20.51, 17.49"
3,"5.1/13, 4.0/10","20.56, 17.28"
4,"4.9/13, 3.6/9","19.68, 17.02"
5,"4.1/11, 3.6/9","17.2, 15.42"
6,"4.3/11, 4.2/10","18.04, 17.97"
7,"4.5/11, 4.1/10","18.22, 17.06"
8,"4.3/12, 4.4/11","18.1, 18.38"
9,"4.2/11, 4.1/10","18.47, 16.99"
10,"4.4/13, 5.4/14","19.22, 20.12"
