week,rating_share,viewers
1,0.6,4.78
2,0.6,4.53
3,0.6,5.13
4,0.6,4.76
5,0.5,4.73
6,0.5,4.75
7,0.5,4.87
8,0.6,5.12
9,0.9,5.7
10,0.6,5.1
11,0.7,5.5
