week,rating_share,viewers
1,6.4/17,24.19
2,"5.6/16, 3.0/9","22.97, 14.28"
3,"5.1/14, 2.5/7","21.21, 12.44"
4,"4.9/14, 2.8/8","20.56, 13.6"
5,"4.8/13, 2.4/7","21.07, 13.56"
6,"4.4/12, 2.4/7","20.4, 12.39"
7,"4.1/12, 2.4/7","19.64, 12.04"
8,"4.1/11, 2.5/7","19.16, 12.52"
9,"4.1/11, 2.5/7","19.04, 13.19"
10,"4.0/12, 3.9/11","19.36, 18.4"
