week,rating_share,viewers
1,"4.1/10, 3.5/9, 3.3/10","17.79, 15.37, 15.36"
2,"3.7/9, 2.7/7","17.03, 13.02"
3,"3.5/8, 2.6/7","16.35, 12.42"
4,"3.6/9, 2.9/7","16.79, 13.95"
5,"3.6/9, 3.4/9","16.82, 14.92"
6,"3.6/9, 3.0/7","17.38, 15.2"
7,"—N/a, —N/a","16.69, 15.05"
8,"3.4/8, 3.5/9","17.62, 16.23"
9,"—N/a, —N/a","18.84, 16.02"
10,"4.0/10, 4.3/12","20.41, 19.29"
