week,rating_share,viewers
1,3.5/9,18.79
2,"3.2/8, 3.1/8","17.96, 15.74"
3,"2.9/8, 2.8/7","16.87, 15.61"
4,"3.0/8, 2.3/6","16.39, 13.39"
5,"2.9/8, 2.5/7","16.65, 14.17"
6,"3.2/8, 2.4/6","17.62, 14.54"
7,"2.8/7, 2.4/6","16.2, 13.87"
8,"2.7/7, 2.4/6","16.37, 13.71"
9,"2.6/7, 2.2/6","15.79, 13.23"
10,"2.9/8, 3.3/9","16.84, 17.75"
