week,rating_share,viewers
1,"4.0/10, 2.1/6, 3.6/9","19.03, 10.97, 14.79"
2,"3.3/8, 1.9/5, 2.9/7","16.23, 9.49, 14.39"
3,"3.1/8, 1.7/5, 2.8/7","16.4, 9.11, 14.8"
4,"3.1/8, 3.2/8","16.3, 16.6"
5,"3.2/8, 2.6/6","17.47, 13.5"
6,"3.1/8, 2.6/7","16.99, 14.1"
7,"2.8/8, 2.8/7","16.3, 15.21"
8,"3.4/8, 2.7/7","18.03, 14.8"
9,"3.4/8, 2.7/7","18.5, 15.15"
10,"3.5/9, 4.1/11","19.61, 19.45"
