week,viewers
1,"21.25, 18.5, 16.81"
2,"20.21, 18.5"
3,"19.62, 16.36"
4,"19.4, 17.3"
5,"21.37, 18.06"
6,"21.43, 18.86"
7,"20.47, 17.06"
8,"21.81, 17.59"
9,"22.85, 20.95"
10,"24.23, 24.87"
