week,rating_share,viewers
1,"4.8/12, 3.0/9","17.46, 12.88"
2,"4.6/12, 3.3/10","17.36, 13.66"
3,"5.2/14, 3.8/12","18.98, 15.44"
4,"5.1/13, 3.5/11","19.37, 14.0"
5,"4.9/12, 3.9/12","18.83, 16.04"
6,"5.5/14, 3.8/11","19.96, 14.59"
7,"5.4/13, 4.0/12","19.26, 15.75"
8,"4.9/12, 8.6/19","17.7, 27.23"
