week,rating_share,viewers
1,2.1/7,14.16
2,2.0/7,13.85
3,2.1/7,13.76
4,2.0/6,13.75
5,2.2/7,13.89
6,2.1/6,13.42
7,2.0/6,13.22
8,"1.7/6, 1.9/6, 1.4/5","10.07, 12.43, 10.29"
9,"2.2/7, 1.5/5","13.48, 10.16"
10,"2.3/8, 2.3/7","14.35, 13.49"
