week,rating_share,viewers
1,6.1/15,22.83
2,"21.22, 2.8/7",12.74
3,"5.0/13, 3.9/10","20.34, 16.12"
4,"4.9/12, 3.1/8","20.48, 13.51"
5,"4.6/12, 3.3/8","19.88, 14.56"
6,"—N/a, —N/a","19.46, 15.24"
7,"4.7/12, 3.2/8","20.53, 14.72"
8,"4.3/11, 3.3/8","19.23, 14.72"
9,"4.9/13, 3.2/8","20.28, 14.56"
10,"4.2/11, 3.1/8","18.55, 14.06"
11,"4.4/13, 5.2/14","19.17, 20.31"
