week,rating_share,viewers
1,3.1/9,16.04
2,2.3/6,13.57
3,2.0/5,13.1
4,2.0/6,13.0
5,2.1/6,12.99
6,2.0/5,13.35
7,2.1/9,13.28
8,2.0/5,13.72
9,1.7/5,12.57
10,2.0/6,13.8
11,"2.2/6, 2.4/7","14.61, 14.75"
