week,rating_share,viewers
1,1.0/5,8.07
2,0.8/4,6.4
3,0.8/4,6.58
4,0.8/3,6.4
5,0.9/4,6.61
6,0.7/3,6.28
7,0.9/4,6.4
8,0.8/3,6.2
9,0.9/4,6.75
10,0.8/4,6.63
11,1.1/5,7.79
