week,rating_share,viewers
1,"5.7/15, 4.1/13","20.22, 16.3"
2,"5.2/14, 3.7/11","17.92, 14.79"
3,"5.2/14, 4.1/12","17.91, 15.81"
4,"5.2/14, 4.5/13","18.38, 17.49"
5,"5.6/15, 4.6/13","20.1, 18.21"
6,"6.0/16, 5.0/14","21.25, 19.23"
7,"5.4/14, 5.1/14","20.69, 20.02"
8,"5.3/15, 4.8/13","20.51, 19.22"
9,"5.9/14, 5.2/14","21.98, 20.68"
10,"7.5/20, 7.1/19","26.8, 27.51"
