week,rating_share,viewers
1,1.8,12.46
2,1.7,11.97
3,1.7,11.72
4,2.0,12.51
5,1.6,10.95
6,1.8,11.75
7,1.8,11.81
8,1.7,11.33
9,1.7,11.64
10,"1.9, 1.6","12.34, 10.49"
