week,rating_share,viewers
1,2.1,13.13
2,"1.8, 1.5","11.46, 9.58"
3,1.6,11.04
4,1.7,11.82
5,1.7,11.64
6,1.9,12.5
7,1.8,11.86
8,1.9,12.09
9,2.0,12.63
10,1.8,12.35
11,"2.1, 2.4","13.29, 13.49"
