week,rating_share,viewers
1,0.7/10,4.97
2,0.8/10,4.89
3,"0.6/5, 0.6/8","3.98, 4.52"
4,0.7/8,4.4
5,0.7/8,4.85
6,0.7/7,4.47
7,0.7/9,5.13
8,0.8/9,5.19
9,1.1/15,6.36
