week,viewers
1,2.1
2,"1.7, 1.5"
3,"1.8, 1.3"
4,"1.7, 1.4"
5,1.6
6,1.6
7,1.6
8,1.5
9,1.6
10,1.7
11,"1.8, 1.8"
