week,rating_share,viewers
1,2.6/7,15.44
2,2.3/6,14.65
3,2.3/6,14.1
4,2.2/6,14.47
5,2.3/7,14.78
6,2.2/6,14.06
7,2.6/7,15.88
8,1.9/6,13.12
9,2.3/7,14.36
10,"2.6/8, 2.4/7, 1.7/6","15.66, 15.07, 11.64"
,,
