week,rating_share,viewers
1,0.9/6,5.47
2,0.7/5,4.88
3,0.7/5,4.74
4,"0.7/4, 0.7/5","4.61, 4.32"
5,0.8/5,5.02
6,0.7/5,4.86
7,0.7/4,4.79
8,0.7/5,4.72
9,0.7/4,4.81
10,0.9/6,5.64
