week,rating_share,viewers
1,1.6/6,10.71
2,"1.4/5, 1.2/4","8.67, 7.22"
3,1.4/5,9.06
4,1.3/5,9.25
5,1.4/5,9.76
6,1.3/5,9.15
7,1.4/5,9.93
8,1.2/5,9.3
9,1.4/5,9.88
10,"1.4/5, 1.3/5","10.08, 9.2"
