week,rating_share,viewers
1,1.0/17,5.28
2,1.0/15,5.46
3,1.2/17,5.83
4,1.3/17,5.88
5,1.3/18,5.98
6,1.4/18,6.63
7,1.4/16,6.74
8,1.2/16,6.3
9,1.3/18,6.67
10,1.5/20,7.22
11,2.1,9.43
