week,rating_share,viewers
1,"5.3/13, 4.7/12, 3.6/10","21.34, 18.3, 15.87"
2,"4.4/11, 3.7/9","18.88, 15.49"
3,"4.3/11, 3.6/10","18.59, 15.05"
4,"4.0/11, 3.3/8","17.76, 14.82"
5,"4.1/10, 3.8/10","18.5, 16.35"
6,"4.2/10, 3.9/9","18.88, 17.44"
7,"3.9/9, 3.3/9","17.09, 15.85"
8,"4.2/10, 3.6/9","18.69, 16.52"
9,"—N/a, —N/a","19.63, 17.59"
10,"4.7/12, 5.1/13","21.09, 20.65"
