week,rating_share,viewers
1,3.2/8,17.06
2,"2.1/6, 2.4/6, 2.4/6","9.76, 14.47, 13.43"
3,"2.2/6, 2.3/6","13.91, 13.98"
4,"2.1/6, 2.0/5","13.15, 12.13"
5,"2.2/6, 2.2/6","13.4, 12.73"
6,"2.1/6, 2.0/5","13.77, 12.65"
7,"2.1/6, 1.5/4","13.45, 10.89"
8,"2.0/5, 1.7/4","13.12, 10.79"
9,"2.0/6, 1.8/5","13.33, 11.87"
10,"2.6/7, 2.7/7","14.97, 15.2"
,,
