week,rating_share,viewers
1,"2.5/7, 2.1/6","14.11, 11.79"
2,"2.1/5, 2.1/5","12.38, 12.03"
3,"2.2/6, 2.2/6","13.55, 13.33"
4,"2.1/5, 2.0/6","13.64, 12.92"
5,"2.4/6, 2.3/7","13.27, 12.9"
6,"2.3/5, 1.8/5","13.9, 11.49"
7,2.1/5,13.48
8,"2.1/5, 1.9/5","13.79, 12.11"
9,"2.4/6, 2.0/6","14.28, 13.01"
10,"2.7/7, 3.0/8","16.3, 16.73"
,,
